Price,Close,High,Low,Open,Volume
Ticker,EQT,EQT,EQT,EQT,EQT
Date,,,,,
2024-01-02,38.2330436706543,38.625984999707576,37.899048412535116,38.41969248826941,4707200
2024-01-03,38.04640197753906,38.301814988304926,37.506110412657286,38.08569686340559,8412300
2024-01-04,37.525753021240234,38.70457321380561,37.49627998695399,38.70457321380561,5823500
2024-01-05,38.02675247192383,38.02675247192383,36.88722707517166,37.427518610746446,8310200
2024-01-08,37.53557586669922,37.604340036253674,36.46481469416617,37.348930798960865,6001700
2024-01-09,37.398048400878906,37.90887063475901,36.985463373917824,37.849928310607595,6252500
2024-01-10,37.04439926147461,37.21140062743039,36.572871944592514,37.04439926147461,4098100
2024-01-11,36.39604949951172,37.4373413550122,36.366580212637295,36.87740242020172,6627500
2024-01-12,37.15245819091797,37.712397112167906,36.7398731952037,37.28998652282273,4357200
2024-01-16,35.6592903137207,36.71040410312196,35.610173582390686,36.25852417909956,5563700
2024-01-17,35.32529067993164,35.69858457680639,35.07970328018679,35.10917631636527,5684800
2024-01-18,34.58852767944336,35.384232185235824,34.2250593855034,35.26635128535161,6872600
2024-01-19,34.70641326904297,34.7260569634185,34.02858964473044,34.431352832023045,6086200
2024-01-22,34.75552749633789,35.040406012659965,34.15629368215457,34.27417457674874,7055600
2024-01-23,34.63764572143555,35.05023450771542,34.392058318072834,34.81446895164601,3559800
2024-01-24,35.03058624267578,35.60035080382582,34.843941169557475,34.93235278258537,4359400
2024-01-25,35.423526763916016,35.43334861075288,34.647469705986204,35.35476259395932,3800100
2024-01-26,35.2467041015625,35.413701732004256,34.57870608506295,35.33511571396292,4477600
2024-01-29,35.18776321411133,35.21723250365918,34.53941261249358,35.13864648240943,3882200
2024-01-30,35.511940002441406,35.855760867982355,34.74570475623155,34.81446892933974,3431100
2024-01-31,34.77517318725586,35.61016874862202,34.74570015456544,35.580699463297485,4259800
2024-02-01,34.44117736816406,35.12881907116608,34.25452855103532,34.95199959565572,3653000
2024-02-02,34.42152786254883,34.76534869342872,33.96964798557354,34.39205482892626,3834100
2024-02-05,33.57670974731445,34.264355219235576,33.53741486380665,34.16611801046607,4790000
2024-02-06,33.62582778930664,34.008943550032015,33.31147620371831,33.517768729129436,3247400
