symbol,current_price,high_price,low_price,open_price,previous_close
25-Feb-11,0.0,0.0,0.0,0.0,0.0
17-Dec-10,0.0,0.0,0.0,0.0,0.0
17-Dec-10,0.0,0.0,0.0,0.0,0.0
17-Dec-10,0.0,0.0,0.0,0.0,0.0
17-Dec-10,0.0,0.0,0.0,0.0,0.0
17-Nov-10,0.0,0.0,0.0,0.0,0.0
26-Aug-10,0.0,0.0,0.0,0.0,0.0
14-Jul-10,0.0,0.0,0.0,0.0,0.0
30-Jun-10,0.0,0.0,0.0,0.0,0.0
28-Jun-10,0.0,0.0,0.0,0.0,0.0
29-Apr-10,0.0,0.0,0.0,0.0,0.0
26-Feb-10,0.0,0.0,0.0,0.0,0.0
18-Dec-09,0.0,0.0,0.0,0.0,0.0
18-Dec-09,0.0,0.0,0.0,0.0,0.0
18-Dec-09,0.0,0.0,0.0,0.0,0.0
18-Dec-09,0.0,0.0,0.0,0.0,0.0
18-Dec-09,0.0,0.0,0.0,0.0,0.0
3-Nov-09,0.0,0.0,0.0,0.0,0.0
28-Sep-09,0.0,0.0,0.0,0.0,0.0
19-Aug-09,0.0,0.0,0.0,0.0,0.0
29-Jun-09,0.0,0.0,0.0,0.0,0.0
25-Jun-09,0.0,0.0,0.0,0.0,0.0
5-Jun-09,0.0,0.0,0.0,0.0,0.0
3-Mar-09,0.0,0.0,0.0,0.0,0.0
3-Mar-09,0.0,0.0,0.0,0.0,0.0
31-Dec-08,0.0,0.0,0.0,0.0,0.0
16-Sep-08,0.0,0.0,0.0,0.0,0.0
12-Sep-08,0.0,0.0,0.0,0.0,0.0
12-Sep-08,0.0,0.0,0.0,0.0,0.0
1-Jul-08,0.0,0.0,0.0,0.0,0.0
23-Jun-08,0.0,0.0,0.0,0.0,0.0
23-Jun-08,0.0,0.0,0.0,0.0,0.0
10-Jun-08,0.0,0.0,0.0,0.0,0.0
20-Dec-07,0.0,0.0,0.0,0.0,0.0
13-Dec-07,0.0,0.0,0.0,0.0,0.0
26-Oct-07,0.0,0.0,0.0,0.0,0.0
2-Oct-07,0.0,0.0,0.0,0.0,0.0
1-Oct-07,0.0,0.0,0.0,0.0,0.0
27-Sep-07,0.0,0.0,0.0,0.0,0.0
26-Sep-07,0.0,0.0,0.0,0.0,0.0
24-Aug-07,0.0,0.0,0.0,0.0,0.0
2-Jul-07,0.0,0.0,0.0,0.0,0.0
30-Mar-07,0.0,0.0,0.0,0.0,0.0
10-Jan-07,0.0,0.0,0.0,0.0,0.0
2-Jun-06,0.0,0.0,0.0,0.0,0.0
18-Nov-05,0.0,0.0,0.0,0.0,0.0
1-Jul-05,0.0,0.0,0.0,0.0,0.0
25-Sep-03,0.0,0.0,0.0,0.0,0.0
5-Dec-00,0.0,0.0,0.0,0.0,0.0
5-Dec-00,0.0,0.0,0.0,0.0,0.0
5-Dec-00,0.0,0.0,0.0,0.0,0.0
5-Dec-00,0.0,0.0,0.0,0.0,0.0
