date,close,high,low,open,volume
2024-04-12,186.22088623046875,187.73785842459912,185.4376039089478,187.18261362060213,1006400
2024-04-15,185.6458282470703,188.2930938257402,185.15008528936715,187.79735086803703,961900
2024-04-16,185.88377380371097,187.3710026657746,185.3682120243184,186.84551634482204,1479900
2024-04-17,187.3412628173828,187.53955697694067,185.50702293037924,187.0140706461187,1460500
2024-04-18,187.3610992431641,188.2137777564963,186.5778168785988,187.47016330169055,1586300
2024-04-19,188.1443634033203,189.04661922466568,187.24212271084951,188.63019695224656,1576400
2024-04-22,190.12733459472656,191.10891110203457,188.6004529344553,188.96729788365775,1262700
2024-04-23,188.9871368408203,191.3468782343969,188.41207317646655,190.6726599238572,1348400
2024-04-24,190.3553771972656,190.95025964059624,188.53103170264677,188.8384050299057,1135700
2024-04-25,191.9120178222656,192.1698138514244,188.9871372991849,190.0480193973481,1358400
2024-04-26,190.2859649658203,192.03097463788697,189.9488634034109,191.77319375996333,1893300
2024-04-29,191.76329040527344,191.9714939708611,190.09758623620164,190.1868314646133,1139400
2024-04-30,190.06784057617188,195.08475671906717,189.93895769913087,191.8128654111782,2047800
2024-05-01,184.4163818359375,186.15148220267344,179.8257971672762,186.15148220267344,3286500
2024-05-02,184.8526306152344,186.39934617350104,184.07927283610104,185.65573176057484,2025700
2024-05-03,183.9305419921875,186.2010531522679,182.36399247065307,185.0509258890339,1219300
2024-05-06,185.12033081054688,185.13024022271136,183.85121499643975,184.55517661082837,1185100
2024-05-07,186.95457458496097,187.06363863660832,185.60615318680857,185.7945379240971,1097600
2024-05-08,185.7350616455078,187.70812409858496,185.55658631055184,186.9744190617655,1489100
2024-05-09,186.5282440185547,186.6571268957163,185.4673468618367,185.7053089201622,954200
2024-05-10,187.62879943847656,188.26334981701916,187.18261867496463,187.2024526292901,689900
2024-05-13,186.6273956298828,188.21377919716113,186.42910146619175,187.4999081047734,839000
2024-05-14,185.74496459960935,187.6089629300848,185.63590054561615,186.6174770315552,804100
2024-05-15,185.3781280517578,186.64722884902685,184.9517812290718,185.50702606564252,670700
2024-05-16,186.10191345214844,186.35970948670249,184.72374855967792,185.90361928402052,907700
2024-05-17,186.55799865722656,187.0239982607251,184.7733209341337,186.4092666884585,711700
2024-05-20,184.3965606689453,186.32995532875364,184.11894580132545,186.32995532875364,908500
2024-05-21,184.8922882080078,185.21948037367943,184.20816050968295,184.6939940518392,718700
2024-05-22,185.17982482910156,185.40786234884695,183.99004478098004,184.93195335537317,694600
2024-05-23,184.7435760498047,185.5367678234327,184.29741040491223,185.17983228174384,605300
2024-05-24,185.219482421875,185.3979577546124,183.28608790232113,185.159995687254,832800
2024-05-28,181.9475555419922,184.5849114274533,181.7790047697613,184.5849114274533,866700
2024-05-29,180.04393005371094,181.2634686651644,179.89521321274097,181.2634686651644,787200
2024-05-30,180.5198516845703,181.2337076401438,179.37963378049687,180.043927542355,1210000
2024-05-31,183.61328125,183.6727679850027,179.96460517146127,180.3909519871052,2388000
2024-06-03,183.74215698242188,184.4659373853188,182.2450037316395,183.09768213066283,1668700
2024-06-04,185.76480102539065,185.8143783467516,182.9291507127107,183.6826745592247,1428300
2024-06-05,186.46876525878903,186.80586684250773,183.85122789191587,185.9928411217896,1173400
2024-06-06,185.4772796630859,187.2520328160684,184.40647304624545,186.70671253033368,871500
2024-06-07,185.3582763671875,187.6684402098553,185.04100876265449,185.8639438324448,883100
2024-06-10,186.12173461914065,186.52824746964012,185.02118466344336,185.28889009290327,585500
2024-06-11,185.0608367919922,186.03250386472627,184.10901880217511,185.5863231075707,770200
2024-06-12,185.67556762695312,186.09198988701644,183.4943016856755,184.56509313791025,781900
2024-06-13,185.83419799804688,185.9829299627908,183.5339585396442,185.5863265190148,701400
2024-06-14,187.03390502929688,187.19254640885651,184.4262921949558,185.05093317142524,653900
2024-06-17,190.0579376220703,190.50410325840951,186.53815959517303,186.6174802839027,1014400
2024-06-18,190.21658325195312,190.66274889826667,189.0862898878172,189.9587872255999,771800
2024-06-20,190.1967315673828,190.74205180821016,189.03669494355373,189.92902615299968,815100
2024-06-21,190.21658325195312,190.68258285311111,189.7208402829659,190.68258285311111,1305900
2024-06-24,193.00265502929688,193.18111523508168,190.4049516015012,190.94036247660495,770300
2024-06-25,192.8440093994141,193.6173671985208,192.23920238945888,193.1414581980415,1129300
2024-06-26,192.4375,193.2604351351294,191.51542534946472,191.8029496116788,1495800
2024-06-27,193.16128540039065,193.7065905284598,192.4969765508313,193.02246285419255,707400
2024-06-28,192.68536376953125,194.14284923464552,192.4176734726626,193.28026135365403,4550500
2024-07-01,191.23780822753903,193.4091648031569,190.46445042374015,193.16129332427585,1427700
2024-07-02,192.0481109619141,192.4557545076934,190.4374259000664,191.12345645980372,1653400
2024-07-03,192.42591857910156,192.81367301436933,191.57086839223487,192.40604462823492,713300
2024-07-05,193.7681579589844,193.9868927910326,191.32231173287937,192.88328165513664,2240900
2024-07-08,194.1658477783203,194.99107187952745,193.7979824597052,194.02665426552363,1362400
2024-07-09,194.19569396972656,194.6530375929569,192.95288929862485,193.8775286918659,577200
2024-07-10,195.7467041015625,195.93561283152044,193.70850148663172,194.65302996546652,923200
2024-07-11,197.55621337890625,198.22235481454055,196.01513266258,196.21399353252227,1213800
2024-07-12,199.0972900390625,200.1810119717792,197.9141376734003,198.16269858480987,893800
2024-07-15,200.03189086914065,200.3898192051853,198.96804283638545,199.3458602941422,1082200
2024-07-16,203.00466918945312,203.07427352975907,200.07165334035017,200.5588382096274,953300
2024-07-17,204.237548828125,205.29144477331403,202.8456136497538,203.41232469703507,1017100
2024-07-18,203.39244079589844,205.35108692574056,202.86547767812556,203.7901322071349,869000
2024-07-19,202.2888336181641,204.87385818339615,201.98060532186184,204.87385818339615,1141900
2024-07-22,203.8995056152344,203.9889839097499,201.90108118294472,202.885372764526,590400
2024-07-23,197.89425659179688,203.1438772113031,197.0988737797382,202.99473155582612,2081100
2024-07-24,198.5206298828125,199.53476266444736,196.67133606733915,197.1485687765391,1952000
2024-07-25,188.25010681152344,201.3840733424438,188.1805176383538,200.75769492913915,2370300
2024-07-26,189.20457458496097,190.89478580004123,187.7330981922862,188.36941353811483,1860600
2024-07-29,191.0538787841797,192.34639866727844,189.40343055146832,190.7556026310099,1299600
2024-07-30,191.25271606445312,193.55935352730168,191.00415514292888,191.09363343364848,1007800
2024-07-31,193.20144653320312,193.8377619057841,191.5311091983311,191.71008095643947,1478100
2024-08-01,196.4029083251953,196.4128604723413,192.68444632203472,193.74827927069177,1585400
2024-08-02,198.84873962402344,198.8984548431204,195.1501518533402,196.83042613051597,1634400
2024-08-05,194.0266571044922,200.47930434923853,192.63472195615884,198.8487452450672,1912600
2024-08-06,195.56773376464844,198.3516191732001,194.23545084080504,194.5635530840121,1268800
2024-08-07,200.39976501464844,202.040276281735,196.16429216053984,196.16429216053984,2852700
2024-08-08,200.3301696777344,201.1355046518165,199.2364955333297,200.1611500683182,1141100
2024-08-09,200.0617218017578,200.36993492644905,196.4824383547996,200.22080443739043,901400
2024-08-12,198.3615570068359,199.95235301030596,197.62582637126897,199.95235301030596,1051900
2024-08-13,199.2364959716797,199.4254047034884,197.9340391419944,198.9083937276364,640000
2024-08-14,201.28463745117188,201.47354618473472,198.35162152052308,198.8487433789705,484600
2024-08-15,201.7121734619141,202.10986488684264,200.5091318694287,201.6525212652703,583900
2024-08-16,202.0999298095703,202.6268777794807,201.394010077092,202.07010371096823,747900
2024-08-19,203.7801971435547,203.81996021666944,201.66245319001249,202.0004924098304,574400
2024-08-20,204.11822509765625,204.37672298602263,203.33276411565723,204.2872446982367,450300
2024-08-21,204.63523864746097,204.71476479031247,203.62110586012855,204.5258712373471,455800
2024-08-22,205.71896362304688,206.5640616491035,204.94345476574568,205.5002287996076,547700
2024-08-23,205.08265686035156,206.8026942521777,204.28725884826753,206.10672668071237,675500
2024-08-26,205.6394195556641,207.41910904514904,205.32125430002745,205.4206847351525,536800
2024-08-27,205.77862548828125,206.72315399518732,204.76449263839368,206.04707554256584,575000
2024-08-28,206.15643310546875,207.11089854248365,205.22184161896547,206.3950418792452,531600
2024-08-29,204.75454711914065,207.48871725559988,204.27731439773504,206.72314536952396,1164700
2024-08-30,207.0114898681641,207.4489443576673,204.60540673564336,204.72472629728523,885400
2024-09-03,204.6451873779297,207.38929459256744,203.66088063036412,207.0015401473365,1122100
2024-09-04,206.51437377929688,206.69333037032445,204.4165188823927,204.8142103097576,792100
2024-09-05,204.2474822998047,206.60385025763065,203.19358637269727,206.51437196290385,672100
2024-09-06,201.6525115966797,205.8084429204548,201.63262247510028,204.3469034889375,1033400
2024-09-09,204.11822509765625,206.0072819709238,201.930892094148,202.76605312205865,882700
2024-09-10,205.12240600585935,205.91780396393452,203.46202092276545,204.62528417843168,704800
2024-09-11,203.62112426757812,204.3469179616069,199.5844970454801,203.48193074857323,829000
2024-09-12,204.05859375,204.13813507091947,201.6425735363079,202.9152043291079,885300
2024-09-13,204.60540771484375,205.60960357778032,203.29301389814304,203.98898146540515,763000
2024-09-16,204.17788696289065,206.63367011705907,204.068519548986,205.3411502720828,657800
2024-09-17,200.5886688232422,203.94921742328887,200.1412621871955,203.481921665142,856900
2024-09-18,198.0334625244141,200.8770002516786,197.0193448241333,200.4991979435361,838200
2024-09-19,199.7535095214844,200.1014857210772,196.5520435278813,198.7692027766711,1316100
2024-09-20,200.23074340820312,200.33017384920308,196.81054256279705,196.81054256279705,1951100
2024-09-23,201.64256286621097,202.17946296126783,200.2009125318517,200.4792995548609,740300
2024-09-24,202.1894073486328,202.33853784108496,200.47930690405607,200.9963178961493,1557900
2024-09-25,203.3128967285156,203.66087291590048,202.12974431530685,203.0543836608504,864200
2024-09-26,199.6143035888672,203.91938045120335,199.494984033584,202.36834760015563,751200
2024-09-27,198.23231506347656,200.35999598862136,197.96386501484497,199.24643272105376,1565100
2024-09-30,199.68389892578125,199.81315546010083,197.2082418487386,197.9737985664421,1266200
2024-10-01,200.12136840820312,200.65826849572937,198.1527701528345,199.644135685589,698900
2024-10-02,199.5131378173828,200.6598315016581,198.92484243616573,200.0316429199664,666200
2024-10-03,201.3179168701172,201.45751264198017,199.0245599344822,199.0245599344822,1379900
2024-10-04,200.09146118164065,200.5601073762176,198.92483614879933,200.3606870245417,957800
2024-10-07,198.0373992919922,199.3535857625648,197.2397026840223,198.8849547907347,2229500
2024-10-08,201.4774475097656,201.7466733451089,198.56586785560037,199.42338903705155,752900
2024-10-09,204.2494354248047,204.5386078648928,200.33077305611445,201.7965362116025,609600
2024-10-10,202.49452209472656,204.7978599293232,202.3848386161839,204.4688094936954,553900
2024-10-11,203.85060119628903,204.25942281640047,202.25520791598976,203.21244692712892,780800
2024-10-14,205.17677307128903,206.3832761428837,203.9802356925479,204.5685310816659,702100
2024-10-15,205.89468383789065,207.93876140715008,205.4360033478166,206.4630325859158,983900
2024-10-16,204.9374542236328,206.59267208251052,204.37907114227596,205.05710339398132,515100
2024-10-17,205.02719116210935,206.2037971251436,204.02010847684952,205.67532633621735,626400
2024-10-18,204.2095642089844,205.40610156348197,203.4019018750685,204.8776307717889,780200
2024-10-21,203.52154541015625,204.8078196072921,202.3947983650173,203.9004547275936,666000
2024-10-22,203.33209228515625,203.571405837153,201.42759520602596,202.8036215041114,552700
2024-10-23,203.3919219970703,204.08990085616017,202.18541894381457,202.85348551000044,554700
2024-10-24,200.9489898681641,203.25232772758463,200.719657215939,202.6739980358361,642400
2024-10-25,199.25389099121097,201.55722881592428,199.01457743501817,200.7296198840718,517300
2024-10-28,199.84217834472656,200.6099626604096,199.32367326785516,200.40056140529703,707900
2024-10-29,203.7209625244141,205.10695448247435,200.00172054454825,200.63987478678897,1182600
2024-10-30,198.23683166503903,206.9017809749354,197.9376935170554,203.41187141632204,1391000
2024-10-31,197.42916870117188,199.5430519013581,197.04029367444332,197.43913439398096,1434100
2024-11-01,198.0074920654297,199.59290441489068,197.2796009288818,198.2767179106506,1010800
2024-11-04,200.01168823242188,200.6897356798915,198.31659243594393,199.42339287499203,1061500
2024-11-05,201.5572204589844,201.96604206164736,199.4233907861643,200.31082426657085,730700
2024-11-06,206.4730224609375,207.2108792962046,202.14552316028352,205.07704954579827,1442300
2024-11-07,207.4801025390625,208.48718520918067,206.26361860912297,207.22085760219585,865800
2024-11-08,210.97998046875,212.6351983253192,203.80074117669292,208.53704688382197,1011900
