date,close,high,low,open,volume
2024-01-02,437.5190124511719,442.89490282119937,434.1466971073143,438.8580284717284,126800
2024-01-03,426.4399719238281,433.02590165881304,424.3768877158986,433.02590165881304,197900
2024-01-04,427.1044616699219,435.16828154630616,422.2245315156039,424.7835148498234,191800
2024-01-05,427.0846862792969,430.70496661896857,424.833176597217,425.1604768431378,223400
2024-01-08,431.7265625,432.2621749674436,426.2614386452725,430.6553678342548,146400
2024-01-09,439.6316833496094,440.3557514974618,429.38579063730555,429.7924565612384,203100
2024-01-10,440.4549560546875,443.38092275804456,437.915798729101,440.7822562974165,213000
2024-01-11,438.1340026855469,440.9806339243292,431.72657005945786,437.0230948860642,205000
2024-01-12,427.22357177734375,440.9509010045767,423.22637996615094,440.9509010045767,370700
2024-01-16,430.35784912109375,430.3876036895296,419.2985936358721,422.5816455195774,383600
2024-01-17,429.60400390625,432.8969838970229,426.8863192340232,426.8863192340232,215400
2024-01-18,437.5091247558594,437.8165987043067,429.2766747530072,432.6192658785333,205400
2024-01-19,440.4350891113281,440.58389221456633,432.5002150886913,437.07270198418973,216900
2024-01-22,450.93890380859375,454.400482903889,443.89669708196095,443.89669708196095,212700
2024-01-23,438.739013671875,453.2995000864085,433.7499628931304,449.14360743902256,300700
2024-01-24,429.1676025390625,441.9030723069111,425.6663404240872,441.9030723069111,292400
2024-01-25,435.9023132324219,436.1998588991817,428.1955475027779,432.74817781905665,251700
2024-01-26,440.6334838867187,453.269761391852,423.79170246332984,436.4180819587085,678500
2024-01-29,433.5119323730469,441.2484224637699,430.80414570672264,441.2484224637699,590300
2024-01-30,444.10498046875,444.6901737956412,428.5427063698212,429.6734404472716,627100
2024-01-31,424.6744995117187,446.892142719145,424.3868518271723,431.4588137788403,581200
2024-02-01,421.1533508300781,428.7014156277183,414.44840273635975,424.376893463124,575000
2024-02-02,416.56103515625,419.22913880940575,411.15539044177086,418.0884765210941,421600
2024-02-05,419.2589111328125,421.8278229215592,408.7352688997032,414.6864243152483,374000
2024-02-06,421.8179016113281,422.5122151956014,417.6421826344658,417.7711291803288,244400
2024-02-07,434.1963195800781,440.6632310619071,422.74032695935665,427.68972525246767,286700
2024-02-08,444.70013427734375,447.16985430968873,434.9997512926685,435.6345255205133,284800
2024-02-09,453.4085998535156,454.37070448597774,444.5909570574392,445.3447797337594,252800
2024-02-12,446.44573974609375,452.5853507498916,442.05181065859705,452.5853507498916,287200
2024-02-13,429.0683898925781,434.6723886086601,419.64572700511815,431.2306357958433,486300
2024-02-14,443.3015747070313,445.19602950294154,433.3135448154291,435.1286641899247,254600
2024-02-15,447.6260681152344,448.3898191111761,439.72094866964386,444.8588025972023,215900
2024-02-16,444.7596130371094,451.1769436402819,441.33768649300674,445.0472606969821,211800
2024-02-20,445.2059020996094,445.4042860455352,439.1357286916175,441.2384653342144,208600
2024-02-21,445.02740478515625,450.04621021102554,440.8417575040287,446.3267379921021,230400
2024-02-22,453.0118713378906,456.20565922923345,448.6774211310287,448.6774211310287,156200
2024-02-23,455.5510559082031,458.6357237311583,452.1192010152505,455.2237253960016,232300
2024-02-26,459.52838134765625,460.4805880275106,453.4582075420108,455.8188374151268,199600
2024-02-27,465.2216796875,466.1143469751581,458.22905368436847,461.3732608833611,258400
2024-02-28,467.8600158691406,471.0736301223563,460.9963366061995,464.6166167803326,231700
2024-02-29,467.3739929199219,471.11332169829814,462.7122725644874,470.4685889646868,306100
2024-03-01,469.0998840332031,472.76974540681414,465.11259013903344,466.2929051677992,237900
2024-03-04,474.1384582519531,478.23484164360264,470.47849533543734,470.47849533543734,215200
2024-03-05,468.5344848632813,473.44417006794174,467.2748042233521,472.90858785814487,208100
2024-03-06,471.2422180175781,476.0031604202374,468.8518639416659,473.60284779688976,247400
2024-03-07,477.4612121582031,479.22672041816935,471.8869679981683,473.7218834013119,200400
2024-03-08,466.9078063964844,481.3790289965986,463.47598192022355,478.0761510638949,266600
2024-03-11,458.92333984375,464.9835850816845,453.8053426929015,464.9835850816845,246100
2024-03-12,465.4497985839844,468.1179024982675,458.2687470033736,460.8674135026933,141300
2024-03-13,466.788818359375,472.2539727819028,463.4958382227562,465.003483729188,149300
2024-03-14,465.5688171386719,474.96169496095354,459.1812412946026,467.1954505311659,270700
2024-03-15,468.2369079589844,470.29999217850826,461.86918843579946,462.424627202023,390600
2024-03-18,468.7626037597656,473.8905295991973,467.1260419877405,471.2124974128701,253000
2024-03-19,479.05804443359375,479.49446488409586,464.70584122462463,464.70584122462463,171400
2024-03-20,484.7712097167969,484.8207905717708,476.6081971708637,481.2203669108488,143400
2024-03-21,495.1956481933594,497.6356134205351,485.2373730621238,488.9469168912352,237300
2024-03-22,489.8296813964844,493.9458911018382,486.3879286955111,493.7276808628749,218100
2024-03-25,485.0291137695313,490.0776738471471,480.2285185106735,489.5817442096311,165200
2024-03-26,480.13922119140625,487.57816570227993,479.9805503453532,484.8902355610442,222100
2024-03-27,483.81744384765625,484.89110850530346,477.5445603607084,483.18122396815585,150900
2024-03-28,485.8852233886719,487.0582755889612,482.72390444110187,484.1355656403896,139800
2024-04-01,481.3123168945313,487.9828421530366,479.89073501515975,487.9828421530366,145800
2024-04-02,475.3078002929687,478.78721407615024,469.63139372992674,478.78721407615024,212400
2024-04-03,478.4790954589844,480.9842627522973,474.254092516981,475.4370957677887,206100
2024-04-04,463.2491455078125,483.69816483383073,462.30475138967734,483.69816483383073,252500
2024-04-05,477.4153442382813,480.34800524520745,465.17775086514246,465.17775086514246,240300
2024-04-08,481.9087829589844,484.911009216946,475.2481784052757,480.33805910082384,189500
2024-04-09,478.7971801757813,484.23500824604025,467.9612972601399,483.2110676565584,218000
2024-04-10,464.3924255371094,471.0231774419096,457.68212718098465,465.4859313691233,241400
2024-04-11,462.2252197265625,467.5735808431947,458.368036006549,466.957232373352,192300
2024-04-12,468.3887634277344,469.36301024508737,457.7119430142758,458.7458041621522,300000
2024-04-15,459.26275634765625,478.4094530581302,458.1095755463997,475.3873554459556,159700
2024-04-16,458.278564453125,460.1375607350255,451.0712071076956,456.00205549364256,234300
2024-04-17,455.1570434570313,460.15745700395087,452.1746887291329,459.54110854761154,323100
2024-04-18,455.9424133300781,464.3426944242549,455.4453542000766,459.7300014736432,231900
2024-04-19,454.4611511230469,461.5790414211364,451.906259943887,456.17103572357206,218900
2024-04-22,456.5885925292969,465.3268703520242,454.70969442105417,457.5131152469645,394100
2024-04-23,473.8564147949219,476.73935168947486,456.8172132079592,458.83527206795446,550600
2024-04-24,465.0982666015625,496.3334475303216,453.87466216497694,467.43445074389285,609700
2024-04-25,472.7032165527344,478.01180424001245,447.2239615614247,460.83344250499465,532200
2024-04-26,474.3037414550781,481.5210496241767,473.9856466735223,475.9937546073287,272000
2024-04-29,474.5025939941406,479.3737675005197,470.1284796279652,476.17270542408505,319000
2024-04-30,460.6943359375,478.15105161640105,460.0680365272136,473.6675681805475,270100
2024-05-01,452.4729309082031,462.6626433195008,449.11280625409177,461.131692667433,600300
2024-05-02,453.1091613769531,455.7137463132276,443.00891641190486,455.7137463132276,305100
2024-05-03,456.0318908691406,467.67300746807166,455.7932818513314,460.5650678124432,235000
2024-05-06,467.3548583984375,468.6174079695159,460.93286311404086,460.93286311404086,186500
2024-05-07,468.4285278320313,473.6873914895383,464.6409397565209,466.3706957896601,247900
2024-05-08,477.8328857421875,478.3796386490967,464.8993974917012,468.6869856293098,222900
2024-05-09,485.8255920410156,485.9150590413126,475.7949123841238,477.53461928986377,188000
2024-05-10,491.6014099121094,492.6352710158758,485.5273318216001,487.4857459254627,257500
2024-05-13,482.62457275390625,492.9832686555153,481.48131241582183,492.7248185222985,167700
2024-05-14,493.92767333984375,494.0270912354309,483.19117771616305,483.43970728608974,247600
2024-05-15,500.359619140625,503.43144098015887,495.8363627712799,497.0591391753609,195800
2024-05-16,488.2711181640625,500.15081292349856,487.9629439368573,500.15081292349856,233500
2024-05-17,486.978759765625,491.969252882904,481.9982478772853,490.96518372493375,241600
2024-05-20,488.0325622558594,495.0112617010687,484.85137160579154,487.018542187883,281500
2024-05-21,490.4482421875,491.3528934309259,480.9643456365209,487.8734795737868,246700
2024-05-22,495.50830078125,496.1445206826541,487.3366475886088,487.3366475886088,279900
2024-05-23,488.92724609375,501.2741777971425,486.3127102362875,500.96600356599714,212800
2024-05-24,500.45904541015625,500.5882553045148,485.1893726233821,490.5675562398214,173800
2024-05-28,499.9718933105469,510.75811292547866,496.27377213957215,501.38355460005056,317700
2024-05-29,483.9466857910156,495.5480587081956,481.1333445914726,494.8024700469858,320300
2024-05-30,491.154052734375,493.0130489796462,482.9525772960037,484.7221065406988,193200
2024-05-31,499.6438293457031,500.68764135380945,482.7636908488609,494.7825766301616,941200
2024-06-03,493.3908386230469,508.13362963016993,480.5766698344932,501.5923143915449,285700
2024-06-04,484.3244934082031,495.00131416274706,481.6900860003787,491.8897190527557,256400
2024-06-05,496.6515502929687,498.05326071519215,486.1636145229217,486.1636145229217,174900
2024-06-06,488.6588134765625,497.72519739729086,485.298719276759,495.4586090016291,164200
2024-06-07,494.1065979003906,495.8761271909069,484.6624744237752,486.760079729647,258900
2024-06-10,503.9781799316406,505.9863182146317,490.8955801105238,490.8955801105238,326700
2024-06-11,502.3776550292969,503.8588814880307,497.9737185389902,502.15894780455056,210700
2024-06-12,530.0241088867188,534.0204840406735,511.8715589173304,513.1142068456827,458900
2024-06-13,536.8238525390625,538.0864021271467,521.5442599607011,529.8451230396827,308200
2024-06-14,530.8591918945312,532.8374776767379,518.7707396155705,530.2328924882028,491500
2024-06-17,538.2354736328125,540.0646778685466,526.8130649093771,527.8370358080485,274400
2024-06-18,547.1825561523438,548.0375439705662,534.8952690104134,536.3665446201115,375600
2024-06-20,540.3529663085938,547.8188041247978,537.8179768891731,546.7650411997139,322900
2024-06-21,539.8062133789062,540.3529662848493,517.021039925056,540.3529662848493,436600
2024-06-24,544.1007690429688,547.4012486785791,537.4700177779787,540.6810000799642,246800
2024-06-25,533.761962890625,545.8405241042876,524.9640404987617,545.1744818547705,312500
2024-06-26,531.1276245117188,531.7936668096694,524.5763579587416,526.962266243338,212400
2024-06-27,539.498046875,540.6611482626556,532.0024169556492,536.10813026866,240100
2024-06-28,532.9627685546875,551.3930118875736,530.8209118936045,541.1218895218252,1252000
2024-07-01,521.7451782226562,537.923993081656,518.5672651381327,536.2602463761086,282000
2024-07-02,533.9789428710938,536.1407435808205,521.805049143537,521.805049143537,285000
2024-07-03,544.9971923828125,545.6746210026997,533.3512695627433,535.8020155033731,168600
2024-07-05,542.4966430664062,545.2860728935353,535.1245828664945,545.106758919471,174800
2024-07-08,541.1318359375,550.9247872001567,540.8529233458896,545.9137245230709,173000
2024-07-09,533.59033203125,541.9686540436526,533.2317040957746,539.7470214769412,226200
2024-07-10,542.6062622070312,545.4455523960947,524.2956223170215,536.6886573137912,319200
2024-07-11,555.4077758789062,562.0825239786456,547.9460285657453,550.5760275596512,325400
2024-07-12,555.0889892578125,570.0523723474273,554.3916166079686,562.8795094440496,277500
2024-07-15,562.3117065429688,570.3313407891865,558.5160750855407,560.0801624888924,307000
2024-07-16,576.119384765625,581.2200738529176,564.4037186165274,567.990180534318,264700
2024-07-17,549.4005126953125,572.9813039110186,549.3706574350384,569.6538713082051,369700
2024-07-18,548.3246459960938,562.3316279038963,540.9824407192556,548.9921026198938,423500
2024-07-19,553.6644287109375,557.6194300113582,545.7743093495222,551.5026280647002,344700
2024-07-22,558.4463500976562,563.1983837938221,549.3905980963808,559.4625235433815,198800
2024-07-23,567.063720703125,568.6476912922805,556.2545959537049,556.2545959537049,323200
2024-07-24,539.1094970703125,557.5197946345864,529.993974872217,532.9926347220061,818100
