date,open,high,low,close,volume,macd,macd_signal
2024-09-30,90.6,90.84,89.48,89.83,1065824.0,3.561380046193932,3.095021885352209
2024-09-27,89.97,92.06,89.82,90.59,1631341.0,3.647542310984065,3.2055259704785803
2024-09-26,86.93,89.905,86.75,89.31,1799416.0,3.571372663044883,3.278695308991841
2024-09-25,85.97,86.12,85.16,85.84,805800.0,3.1941870680720825,3.2617936608078897
2024-09-24,84.04,85.77,83.84,85.74,940674.0,2.854293088329044,3.1802935463121207
2024-09-23,83.3,84.2,83.08,83.98,668399.0,2.415067969290135,3.027248430907724
2024-09-20,84.02,84.19,82.62,82.89,2338885.0,1.9564720159771412,2.8130931479216077
2024-09-19,84.5,84.5,83.361,84.29,679470.0,1.6865581264472809,2.5877861436267424
2024-09-18,82.9,84.29,82.295,82.89,904176.0,1.3441861830669382,2.339066151514782
2024-09-17,82.09,83.245,81.925,82.47,583569.0,1.0271234219220275,2.076677605596231
2024-09-16,80.82,81.93,80.4523,81.7,820998.0,0.7055828150772072,1.8024586474924265
2024-09-13,79.75,80.59,79.42,79.97,986156.0,0.3076170084030281,1.5034903196745468
2024-09-12,78.4,79.42,77.875,79.4,982230.0,-0.0531552561810571,1.192161204503426
2024-09-11,78.48,78.57,76.63,78.46,593141.0,-0.410191585912969,0.871690646420147
2024-09-10,78.14,78.8108,77.71,78.68,556700.0,-0.6676964985415168,0.5638132174278143
2024-09-09,77.33,77.99,76.795,77.89,830877.0,-0.924856227825515,0.2660793283771484
2024-09-06,78.04,78.63,76.78,76.91,864869.0,-1.1939716142693868,-0.02593086015215861
2024-09-05,79.87,79.95,76.94,77.86,1561841.0,-1.315427012602683,-0.2838300906422635
2024-09-04,81.09,81.26,79.76,80.35,625037.0,-1.196961276110514,-0.4664563277359136
2024-09-03,83.53,83.665,80.65,81.26,740814.0,-1.0179130634615348,-0.5767476748810378
2024-08-30,82.48,83.86,82.43,83.72,1007080.0,-0.669793659665757,-0.5953568718379817
2024-08-29,82.4,82.94,81.13,82.1,603667.0,-0.5186483300859805,-0.5800151634875815
2024-08-28,81.72,82.645,81.59,81.84,577041.0,-0.41505984303533694,-0.5470240993971326
2024-08-27,81.85,82.3937,80.985,81.76,702370.0,-0.3355525116647584,-0.5047297818506578
2024-08-26,82.96,83.22,82.12,82.36,562113.0,-0.22157323481698654,-0.44809847244392353
2024-08-23,81.82,83.09,81.18,82.54,562529.0,-0.11538920612068182,-0.3815566191792752
2024-08-22,81.82,82.1,80.88,81.13,627664.0,-0.14336024681593074,-0.33391734470660633
2024-08-21,81.19,81.94,81.02,81.88,573128.0,-0.10381208500376715,-0.2878962927660385
2024-08-20,80.63,81.11,80.38,80.8,605337.0,-0.1577978603930461,-0.26187660629144005
