Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Unnamed: 0,publishedAt,title,source,sentiment_score,sentiment_score_normalized,SMA_5,SMA_10,Close_Lag_1,Close_Lag_2,RSI
2024-12-31 05:00:00+00:00,252.44000244140625,253.27999877929688,249.42999267578125,250.4199981689453,39480700,0.0,0.0,AAPL,72.0,2024-12-30 22:05:29+00:00,3 Reliable Dividend Stocks Offering Up To 9.5% Yield,"{'id': None, 'name': 'Yahoo Entertainment'}",8.0,0.8,267.997998046875,306.7939987182617,221.3000030517578,191.2400054931641,38.70330985110021
2024-12-31 05:00:00+00:00,426.1000061035156,426.7300109863281,420.6600036621094,421.5,13246500,0.0,0.0,MSFT,72.0,2024-12-30 22:05:29+00:00,3 Reliable Dividend Stocks Offering Up To 9.5% Yield,"{'id': None, 'name': 'Yahoo Entertainment'}",8.0,0.8,267.3320007324219,329.6679992675781,250.4199981689453,221.3000030517578,48.34498191247044
2024-12-31 05:00:00+00:00,423.7900085449219,427.9299926757813,402.5400085449219,403.8399963378906,76825100,0.0,0.0,TSLA,72.0,2024-12-30 22:05:29+00:00,3 Reliable Dividend Stocks Offering Up To 9.5% Yield,"{'id': None, 'name': 'Yahoo Entertainment'}",8.0,0.8,297.6600006103516,344.4929992675781,421.5,250.4199981689453,58.9578650968503
2024-12-31 05:00:00+00:00,222.97000122070312,223.22999572753903,218.94000244140625,219.38999938964844,24819700,0.0,0.0,AMZN,72.0,2024-12-30 22:05:29+00:00,3 Reliable Dividend Stocks Offering Up To 9.5% Yield,"{'id': None, 'name': 'Yahoo Entertainment'}",8.0,0.8,303.2899993896484,323.3789993286133,403.8399963378906,421.5,49.601381952550156
2024-12-31 05:00:00+00:00,191.0800018310547,191.9600067138672,188.5099945068359,189.3000030517578,17466900,0.0,0.0,GOOGL,72.0,2024-12-30 22:05:29+00:00,3 Reliable Dividend Stocks Offering Up To 9.5% Yield,"{'id': None, 'name': 'Yahoo Entertainment'}",8.0,0.8,296.88999938964844,299.14299926757815,219.38999938964844,403.8399963378906,48.255890584771734
2025-01-02 05:00:00+00:00,248.92999267578125,249.1000061035156,241.82000732421875,243.8500061035156,55740700,0.0,0.0,AAPL,33.0,2025-01-01 16:23:00+00:00,14 of the best specialty items to get at Aldi this month for $5 or less,"{'id': 'business-insider', 'name': 'Business Insider'}",8.0,0.8,295.5760009765625,281.78699951171876,189.3000030517578,219.38999938964844,52.52628209060372
2025-01-02 05:00:00+00:00,222.02999877929688,225.1499938964844,218.19000244140625,220.22000122070312,33956600,0.0,0.0,AMZN,33.0,2025-01-01 16:23:00+00:00,14 of the best specialty items to get at Aldi this month for $5 or less,"{'id': 'business-insider', 'name': 'Business Insider'}",8.0,0.8,255.32000122070312,261.3260009765625,243.8500061035156,189.3000030517578,48.180499594467875
2025-01-02 05:00:00+00:00,390.1000061035156,392.7300109863281,373.0400085449219,379.2799987792969,109710700,0.0,0.0,TSLA,33.0,2025-01-01 16:23:00+00:00,14 of the best specialty items to get at Aldi this month for $5 or less,"{'id': 'business-insider', 'name': 'Business Insider'}",8.0,0.8,250.4080017089844,274.034001159668,220.22000122070312,243.8500061035156,47.319812892501794
2025-01-02 05:00:00+00:00,190.6499938964844,192.0,187.5,189.42999267578125,20370800,0.0,0.0,GOOGL,33.0,2025-01-01 16:23:00+00:00,14 of the best specialty items to get at Aldi this month for $5 or less,"{'id': 'business-insider', 'name': 'Business Insider'}",8.0,0.8,244.41600036621094,273.8529998779297,379.2799987792969,220.22000122070312,39.42051441024667
2025-01-02 05:00:00+00:00,425.5299987792969,426.0700073242187,414.8500061035156,418.5799865722656,16896500,0.0,0.0,MSFT,33.0,2025-01-01 16:23:00+00:00,14 of the best specialty items to get at Aldi this month for $5 or less,"{'id': 'business-insider', 'name': 'Business Insider'}",8.0,0.8,290.2719970703125,293.5809982299805,189.42999267578125,379.2799987792969,50.04302325289099
